contributor,feat_num_activities,feat_num_activity_type,feat_repos,feat_owner,feat_ratio_owner_repo,consecutive_activity_time_mean,consecutive_activity_time_50%,consecutive_activity_time_std,consecutive_activity_time_gini,consecutive_activity_time_IQR,activity_per_repo_mean,activity_per_repo_50%,activity_per_repo_std,activity_per_repo_gini,activity_per_repo_IQR,activity_type_per_repo_mean,activity_type_per_repo_50%,activity_type_per_repo_std,activity_type_per_repo_gini,activity_type_per_repo_IQR,continuous_activity_repo_mean,continuous_activity_repo_50%,continuous_activity_repo_std,continuous_activity_repo_gini,continuous_activity_repo_IQR,time_spent_in_repo_mean,time_spent_in_repo_50%,time_spent_in_repo_std,time_spent_in_repo_gini,time_spent_in_repo_IQR,time_to_switch_repo_mean,time_to_switch_repo_50%,time_to_switch_repo_std,time_to_switch_repo_gini,time_to_switch_repo_IQR,time_to_switch_act_type_mean,time_to_switch_act_type_50%,time_to_switch_act_type_std,time_to_switch_act_type_gini,time_to_switch_act_type_IQR,activity_per_act_type_mean,activity_per_act_type_50%,activity_per_act_type_std,activity_per_act_type_gini,activity_per_act_type_IQR
confs-tech-bot,300,3,1,1,1.0,2.234,0.0,8.416,0.889,0.001,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,667.954,667.954,0.0,0.0,0.0,,,0.0,0.0,,2.912,0.0,9.537,0.883,0.295,100.0,75.0,44.17,0.171,38.5
opensearch-ci-bot,240,7,35,1,0.029,0.304,0.006,1.706,0.931,0.045,6.857,6.0,4.754,0.377,7.5,2.886,3.0,0.867,0.158,1.0,1.277,1.0,0.525,0.169,0.0,0.011,0.0,0.071,0.865,0.0,0.377,0.011,1.922,0.927,0.065,0.439,0.001,2.126,0.933,0.024,34.286,10.0,54.75,0.643,28.0
cdagaming,296,9,8,3,0.375,1.543,0.0,6.386,0.826,0.007,37.0,2.5,95.01,0.825,4.0,2.25,1.5,1.753,0.361,1.75,12.87,2.0,29.158,0.764,8.0,13.548,0.0,31.461,0.689,1.332,6.531,1.957,8.456,0.647,10.788,2.484,0.084,5.034,0.747,2.097,32.889,2.0,91.179,0.839,1.0
austbot,72,11,22,16,0.727,28.715,1.13,59.023,0.783,27.232,3.273,1.0,4.038,0.534,3.5,1.545,1.0,1.057,0.281,0.75,1.674,1.0,1.459,0.329,1.0,6.045,0.0,20.741,0.735,0.009,42.353,13.455,71.224,0.707,64.33,38.685,3.928,71.229,0.752,47.82,6.545,3.0,8.733,0.551,4.5
odlbot,129,6,13,1,0.077,2.826,0.001,9.427,0.869,1.02,9.923,8.0,10.712,0.44,6.0,4.154,4.0,1.214,0.125,0.0,2.804,2.0,1.327,0.222,1.0,0.43,0.0,0.979,0.817,0.0,7.598,1.456,14.824,0.737,3.583,2.728,0.001,9.463,0.877,0.928,21.5,22.5,14.789,0.345,24.25
beyerleinf,73,9,8,4,0.5,29.626,0.0,71.151,0.806,15.957,9.125,2.5,13.527,0.628,9.0,1.875,1.5,0.991,0.258,2.0,3.042,3.0,1.398,0.23,0.0,7.7,0.001,35.937,0.942,0.0,84.706,22.774,101.462,0.551,122.637,32.337,0.0,74.814,0.792,18.498,8.111,1.0,10.982,0.615,17.0
theyobots,20,4,1,1,1.0,97.404,0.008,282.129,0.865,35.814,20.0,20.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1850.671,1850.671,0.0,0.0,0.0,,,0.0,0.0,,92.154,0.005,289.352,0.89,0.078,5.0,5.0,4.082,0.375,6.5
softagram-tester-bot,300,3,1,1,1.0,2.89,0.003,7.782,0.874,0.04,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,864.073,864.073,0.0,0.0,0.0,,,0.0,0.0,,3.56,0.003,8.501,0.85,0.04,100.0,75.0,43.301,0.167,37.5
ericlemanissierbot,300,1,1,1,1.0,5.522,2.029,7.754,0.649,8.113,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1651.195,1651.195,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
akcoder,7,4,3,2,0.667,118.948,0.081,291.206,0.833,0.11,2.333,2.0,1.528,0.286,1.5,1.667,2.0,0.577,0.133,0.5,1.75,1.0,1.5,0.321,0.75,0.04,0.0,0.079,0.0,0.04,237.844,0.107,411.817,0.666,356.658,142.709,0.055,319.009,0.8,0.092,1.75,1.0,1.5,0.321,0.75
normation-quality-assistant,220,3,12,5,0.417,3.088,0.007,13.079,0.931,0.145,18.333,7.5,33.307,0.668,17.5,2.25,3.0,0.965,0.207,2.0,4.151,3.0,4.947,0.457,2.0,2.695,0.006,8.84,0.892,0.026,10.258,0.843,24.254,0.812,6.446,2.569,0.007,10.111,0.931,0.026,73.333,81.0,15.044,0.082,13.5
jdef,21,6,2,2,1.0,56.188,0.322,99.459,0.768,86.001,10.5,10.5,10.607,0.357,7.5,3.0,3.0,1.414,0.167,1.0,10.5,10.5,10.607,0.357,7.5,460.431,460.431,633.707,0.487,448.099,202.889,202.889,0.0,0.0,0.0,74.552,8.061,90.776,0.605,145.246,3.5,2.0,4.68,0.5,0.75
yippee-ki-yay,107,8,2,1,0.5,16.714,0.24,37.245,0.834,14.995,53.5,53.5,65.761,0.435,46.5,5.0,5.0,4.243,0.3,3.0,9.727,7.0,9.961,0.522,12.5,145.606,96.761,188.796,0.494,191.468,17.006,2.056,29.994,0.721,21.856,17.209,0.245,34.418,0.801,20.971,13.375,11.0,10.941,0.417,10.0
tmercbot[bot],14,3,1,1,1.0,5.675,0.057,13.695,0.838,2.616,14.0,14.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,73.772,73.772,0.0,0.0,0.0,,,0.0,0.0,,5.675,0.057,13.695,0.838,2.616,4.667,5.0,0.577,0.048,0.5
avinashbot,169,9,6,2,0.333,12.123,0.334,29.446,0.847,4.103,28.167,2.0,61.255,0.778,7.25,3.0,1.0,3.162,0.463,3.75,9.941,2.0,18.913,0.717,4.0,78.893,0.0,188.942,0.756,1.245,43.468,28.436,48.927,0.588,76.616,12.854,0.373,29.957,0.833,4.788,18.778,14.0,17.247,0.429,11.0
bottlecapdave,224,14,7,3,0.429,8.014,0.137,31.745,0.901,1.064,32.0,5.0,74.984,0.782,3.0,3.571,3.0,3.552,0.446,3.0,11.2,2.0,16.857,0.678,12.75,51.13,0.097,83.525,0.573,70.02,40.241,2.396,94.016,0.842,10.242,9.142,0.146,38.414,0.913,1.024,16.0,4.0,24.271,0.67,12.25
dataops-ci-bot,300,4,4,1,0.25,0.855,0.194,3.323,0.788,0.472,75.0,10.0,136.264,0.71,83.0,1.25,1.0,0.5,0.15,0.25,7.895,2.0,11.406,0.636,10.25,3.3,0.17,4.371,0.311,6.503,3.517,0.891,8.471,0.733,4.58,2.203,0.336,6.604,0.79,1.686,75.0,17.5,125.552,0.655,67.5
vtex-io-docs-bot[bot],67,1,44,1,0.023,30.951,6.76,44.823,0.68,50.385,1.523,1.0,1.151,0.287,0.25,1.0,1.0,0.0,0.0,0.0,1.081,1.0,0.417,0.072,0.0,0.001,0.0,0.007,0.397,0.0,33.487,12.474,45.72,0.664,61.562,,,0.0,0.0,,67.0,67.0,0.0,0.0,0.0
ansibullbot,74,3,1,1,1.0,4.069,0.296,6.899,0.727,5.708,74.0,74.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,74.0,74.0,0.0,0.0,0.0,297.029,297.029,0.0,0.0,0.0,,,0.0,0.0,,8.781,5.02,10.428,0.566,9.037,24.667,32.0,19.088,0.324,18.0
icrawl,280,9,93,80,0.86,6.016,0.211,16.365,0.841,2.89,3.011,1.0,10.855,0.647,0.0,1.14,1.0,0.716,0.118,0.0,1.818,1.0,2.427,0.396,0.0,2.228,0.0,8.809,0.743,0.0,8.728,0.413,20.824,0.813,7.921,7.23,0.413,12.846,0.762,10.58,31.111,9.0,42.114,0.618,26.0
sagemaker-bot,296,4,2,1,0.5,0.829,0.007,3.268,0.916,0.195,148.0,148.0,203.647,0.486,144.0,2.0,2.0,0.0,0.0,0.0,59.2,17.0,87.36,0.645,65.0,45.894,26.758,64.829,0.626,46.22,3.772,1.962,4.124,0.447,2.928,2.172,0.677,3.38,0.701,2.203,74.0,3.5,142.007,0.725,73.5
xieyonghong,161,9,4,3,0.75,12.585,0.013,46.684,0.919,0.68,40.25,4.5,73.88,0.707,41.25,3.25,2.0,3.304,0.442,3.25,9.471,1.0,24.068,0.779,2.0,75.096,0.0,124.56,0.459,162.383,46.061,5.334,80.059,0.722,57.31,11.812,0.011,44.683,0.923,0.272,17.889,14.0,19.277,0.541,23.0
sgolebiewski-intel,281,8,9,3,0.333,3.168,0.169,18.42,0.914,0.631,31.222,8.0,51.85,0.692,32.0,2.222,2.0,1.302,0.289,2.0,2.578,2.0,2.964,0.429,2.0,5.132,0.005,28.593,0.905,0.621,3.034,0.293,8.836,0.847,1.12,3.492,0.143,22.62,0.927,0.66,35.125,18.0,53.879,0.592,17.25
wallabag-bot,9,1,1,1,1.0,207.596,220.134,184.52,0.464,258.876,9.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,1660.771,1660.771,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,9.0,9.0,0.0,0.0,0.0
slowbot,21,5,5,3,0.6,88.201,0.23,187.416,0.824,48.256,4.2,3.0,4.55,0.476,3.0,1.6,1.0,0.894,0.25,1.0,2.625,2.0,2.669,0.411,1.25,95.914,0.09,241.966,0.76,19.122,142.387,39.261,182.143,0.612,224.648,215.745,75.72,270.616,0.608,332.181,4.2,3.0,3.834,0.438,5.0
publisher-ads-audits-bot,300,4,3,2,0.667,4.014,2.013,4.868,0.564,4.079,100.0,10.0,162.862,0.636,143.0,1.667,1.0,1.155,0.267,1.0,33.333,3.0,59.515,0.733,47.0,132.664,0.202,229.016,0.624,200.918,0.794,0.252,1.002,0.559,1.32,0.223,0.108,0.366,0.573,0.252,75.0,2.0,146.0,0.73,73.0
jbosstm-bot,300,1,3,1,0.333,2.249,0.048,12.039,0.928,0.392,100.0,19.0,153.47,0.607,136.5,1.0,1.0,0.0,0.0,0.0,23.077,11.0,37.237,0.624,25.0,37.075,8.728,73.13,0.75,42.099,15.873,7.217,21.216,0.631,18.891,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
ninjha01,216,6,17,15,0.882,7.561,0.07,22.24,0.887,1.715,12.706,1.0,45.456,0.857,0.0,1.353,1.0,0.996,0.23,0.0,6.171,1.0,13.378,0.707,3.0,8.64,0.0,26.371,0.796,1.025,38.917,22.794,42.421,0.556,56.575,16.541,0.166,34.715,0.816,13.756,36.0,10.0,66.741,0.67,8.25
hft-team-city,300,3,7,1,0.143,0.149,0.001,1.107,0.959,0.008,42.857,38.0,23.191,0.28,29.5,2.286,3.0,0.951,0.196,1.5,2.113,1.0,2.585,0.429,1.0,0.087,0.0,0.685,0.946,0.001,0.229,0.001,1.485,0.952,0.02,0.039,0.001,0.101,0.823,0.05,100.0,7.0,161.948,0.624,140.5
mhevery,237,10,7,5,0.714,5.333,0.068,13.988,0.84,2.576,33.857,23.0,37.32,0.533,45.5,3.429,2.0,3.259,0.452,4.0,4.938,2.5,7.653,0.583,4.25,12.681,0.014,29.123,0.703,10.581,13.826,2.167,25.262,0.734,18.57,4.58,0.033,9.817,0.819,2.444,23.7,15.0,26.965,0.547,27.5
nextcloud-command,257,6,54,2,0.037,0.497,0.024,1.091,0.801,0.302,4.759,3.5,5.408,0.437,3.75,1.87,1.0,1.065,0.29,2.0,1.932,1.0,1.372,0.334,2.0,0.102,0.0,0.35,0.804,0.003,0.861,0.188,1.394,0.706,1.178,0.483,0.005,1.088,0.777,0.445,42.833,21.0,49.737,0.547,75.75
reviewflow[bot],145,5,28,1,0.036,0.276,0.002,1.456,0.943,0.022,5.179,4.0,4.831,0.448,6.0,2.786,4.0,1.475,0.259,3.0,3.718,4.0,2.595,0.294,2.0,0.036,0.011,0.163,0.781,0.013,1.008,0.112,2.723,0.833,0.191,0.304,0.002,1.591,0.947,0.018,29.0,31.0,18.235,0.301,7.0
techknowlogick,209,13,21,19,0.905,5.52,0.403,11.2,0.793,5.768,9.952,1.0,32.149,0.816,4.0,2.048,1.0,2.397,0.427,0.0,2.459,1.0,2.881,0.458,1.0,6.248,0.0,16.905,0.742,0.804,7.345,0.693,12.538,0.75,9.278,5.901,0.452,11.794,0.791,5.925,16.077,12.0,19.146,0.562,16.0
maistra-bot,243,5,14,7,0.5,4.418,0.011,17.264,0.879,1.319,17.357,13.5,18.062,0.52,23.5,1.357,1.0,0.497,0.169,1.0,1.13,1.0,0.412,0.103,0.0,0.0,0.0,0.002,0.78,0.0,4.996,0.032,18.284,0.864,1.465,4.139,0.001,19.0,0.916,0.45,48.6,30.0,51.291,0.514,74.0
reactorbot,14,1,1,1,1.0,63.138,2.412,98.207,0.701,119.138,14.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,820.8,820.8,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,14.0,14.0,0.0,0.0,0.0
wbotelhos,50,11,28,25,0.893,40.137,1.087,80.794,0.795,26.189,1.786,1.0,2.315,0.394,0.0,1.393,1.0,1.197,0.255,0.0,1.786,1.0,2.315,0.394,0.0,0.879,0.0,4.416,0.625,0.0,71.93,25.76,98.52,0.645,97.449,15.412,0.271,34.153,0.832,7.155,4.545,2.0,6.991,0.571,3.0
beemi,117,6,8,2,0.25,16.282,0.13,58.885,0.924,0.446,14.625,10.0,14.372,0.505,21.0,2.25,2.5,1.165,0.264,2.0,14.625,10.0,14.372,0.505,21.0,92.655,12.184,138.344,0.582,145.606,163.929,151.146,134.759,0.396,105.648,60.641,0.23,112.352,0.763,81.73,19.5,2.5,41.923,0.762,3.75
pydio-bot,22,1,1,1,1.0,74.529,5.095,116.905,0.726,124.22,22.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,1565.111,1565.111,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,22.0,22.0,0.0,0.0,0.0
danigb,176,10,40,36,0.9,11.826,0.036,35.436,0.889,3.889,4.4,1.0,13.687,0.727,0.0,1.55,1.0,1.679,0.323,0.0,2.708,1.0,5.692,0.564,1.0,0.585,0.0,2.911,0.859,0.002,31.742,8.551,53.191,0.724,33.681,11.296,0.019,37.888,0.912,0.385,17.6,17.0,9.489,0.286,10.0
opencollective-robot,300,2,1,1,1.0,1.39,0.001,6.34,0.957,0.0,300.0,300.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,415.728,415.728,0.0,0.0,0.0,,,0.0,0.0,,23.509,23.509,33.247,0.5,23.509,150.0,150.0,210.718,0.497,149.0
kubeinit-bot,300,1,1,1,1.0,2.006,0.72,3.681,0.64,0.358,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,599.707,599.707,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
usercont-release-bot,295,9,5,1,0.2,0.59,0.001,3.129,0.96,0.002,59.0,2.0,124.706,0.773,8.0,2.2,1.0,2.168,0.4,1.0,32.778,9.0,43.868,0.636,36.0,11.081,0.003,21.461,0.585,0.957,9.217,7.7,6.337,0.36,8.87,1.095,0.0,4.231,0.919,0.002,32.778,15.0,50.677,0.63,10.0
kaitcrawford,4,2,1,1,1.0,17.477,0.219,29.962,0.66,25.968,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,52.431,52.431,0.0,0.0,0.0,,,0.0,0.0,,26.106,26.106,36.725,0.497,25.968,2.0,2.0,0.0,0.0,0.0
tsurdilo,201,14,13,5,0.385,9.443,0.038,32.055,0.909,1.016,15.462,5.0,25.935,0.657,12.0,3.0,2.0,2.0,0.32,1.0,2.753,1.0,4.81,0.547,1.0,3.3,0.0,13.972,0.855,0.035,22.883,0.668,49.752,0.816,19.66,11.898,0.014,36.27,0.895,1.946,14.357,11.0,17.225,0.564,16.75
rollingversions[bot],54,1,38,4,0.105,38.156,20.678,54.484,0.618,35.668,1.421,1.0,1.5,0.276,0.0,1.0,1.0,0.0,0.0,0.0,1.059,1.0,0.311,0.054,0.0,0.432,0.0,3.082,0.499,0.0,40.005,21.2,55.523,0.606,37.665,,,0.0,0.0,,54.0,54.0,0.0,0.0,0.0
gmatuz,300,1,2,1,0.5,1.0,0.999,0.136,0.051,0.035,150.0,150.0,209.304,0.493,148.0,1.0,1.0,0.0,0.0,0.0,60.0,3.0,81.062,0.612,127.0,59.334,2.252,81.416,0.37,127.573,0.58,0.584,0.528,0.416,0.85,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
plural-bot,184,4,4,1,0.25,3.744,0.001,9.416,0.841,3.64,46.0,26.5,56.598,0.527,37.0,2.0,2.0,0.816,0.188,0.5,5.576,3.0,5.523,0.458,4.0,10.158,0.786,17.543,0.694,16.993,10.936,3.839,15.998,0.652,8.838,3.336,0.001,8.587,0.841,3.599,46.0,49.0,34.477,0.34,55.5
antrea-bot,224,3,2,1,0.5,9.232,0.009,25.117,0.887,0.544,112.0,112.0,145.664,0.46,103.0,2.0,2.0,1.414,0.25,1.0,24.889,15.0,33.198,0.607,16.0,207.167,84.514,368.696,0.699,133.628,24.266,0.167,44.577,0.759,22.532,16.175,0.038,37.515,0.808,0.734,74.667,4.0,122.398,0.631,106.0
pablojimpas,9,2,6,2,0.333,14.738,0.61,33.403,0.818,5.515,1.5,1.0,1.225,0.278,0.0,1.0,1.0,0.0,0.0,0.0,1.286,1.0,0.488,0.159,0.5,16.528,0.0,35.671,0.327,10.034,0.369,0.371,0.354,0.478,0.573,0.414,0.414,0.574,0.491,0.406,4.5,4.5,4.95,0.389,3.5
translatewiki,300,3,97,54,0.557,1.365,0.001,10.527,0.979,0.014,3.093,2.0,2.433,0.393,4.0,1.124,1.0,0.439,0.103,0.0,1.075,1.0,0.29,0.066,0.0,0.0,0.0,0.0,0.448,0.0,1.468,0.001,10.912,0.978,0.015,5.225,0.001,20.592,0.933,0.014,100.0,25.0,143.091,0.567,127.5
pyansys-ci-bot,292,6,12,1,0.083,0.297,0.0,1.768,0.96,0.001,24.333,3.0,70.526,0.828,4.5,1.833,1.0,1.403,0.341,1.25,9.733,1.0,27.698,0.809,1.0,0.445,0.0,1.172,0.703,0.015,2.515,0.377,5.015,0.778,2.278,0.122,0.0,0.969,0.977,0.0,48.667,43.0,35.887,0.318,2.0
istio-release-robot,186,2,9,1,0.111,10.857,0.0,60.126,0.952,0.0,20.667,16.0,7.55,0.17,14.0,1.111,1.0,0.333,0.089,0.0,1.148,1.0,0.405,0.114,0.0,4.692,0.0,48.72,0.88,0.0,7.754,0.0,42.69,0.954,0.0,113.882,7.353,169.806,0.693,170.696,93.0,93.0,108.894,0.414,77.0
eom-bot,272,1,1,1,1.0,7.89,2.049,9.786,0.609,21.68,272.0,272.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,272.0,272.0,0.0,0.0,0.0,2138.243,2138.243,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,272.0,272.0,0.0,0.0,0.0
shuhaowu,61,10,6,5,0.833,27.924,0.781,59.976,0.81,23.324,10.167,1.5,18.734,0.702,5.5,2.667,1.5,2.733,0.438,1.75,6.1,4.0,7.52,0.53,6.25,117.899,26.168,152.662,0.471,232.902,55.164,25.59,58.144,0.524,96.006,28.254,0.945,52.685,0.772,24.72,6.1,5.0,5.021,0.402,5.0
temportalflux,142,7,14,4,0.286,13.814,0.289,34.543,0.845,4.689,10.143,6.0,10.332,0.509,10.75,1.357,1.0,0.842,0.222,0.0,2.029,1.0,2.525,0.425,1.0,8.279,0.0,28.916,0.763,0.213,19.83,0.655,41.041,0.817,17.596,24.623,2.024,42.826,0.743,17.352,20.286,1.0,50.149,0.811,1.0
aws-cdk-automation,241,9,10,2,0.2,0.121,0.003,0.33,0.841,0.05,24.1,15.0,24.21,0.507,29.75,4.2,5.0,1.814,0.224,2.75,4.228,3.0,6.722,0.489,1.0,0.322,0.0,1.244,0.917,0.001,0.189,0.019,0.51,0.841,0.044,0.102,0.0,0.35,0.886,0.022,26.778,25.0,20.092,0.374,6.0
rust-highfive,300,1,1,1,1.0,1.117,0.815,0.711,0.244,0.531,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,333.859,333.859,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,300.0,300.0,0.0,0.0,0.0
derek[bot],36,1,10,4,0.4,53.92,18.514,74.507,0.613,90.383,3.6,1.0,7.531,0.633,0.75,1.0,1.0,0.0,0.0,0.0,2.4,1.0,2.613,0.452,1.0,60.502,0.0,113.609,0.364,70.676,69.976,44.198,75.823,0.526,95.582,,,0.0,0.0,,36.0,36.0,0.0,0.0,0.0
andy-zhangtao,9,5,6,5,0.833,95.772,42.22,114.004,0.595,190.972,1.5,1.0,0.837,0.241,0.75,1.333,1.0,0.816,0.208,0.0,1.5,1.0,0.837,0.241,0.75,0.072,0.0,0.122,0.17,0.108,153.148,177.031,108.495,0.353,162.995,126.141,117.053,146.253,0.518,242.757,1.8,1.0,1.095,0.267,2.0
abrt-bot,12,3,3,1,0.333,63.272,0.0,209.849,0.857,0.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.5,1.5,0.535,0.167,1.0,0.0,0.0,0.0,0.0,0.0,99.428,0.0,263.06,0.8,0.001,86.999,0.0,246.07,0.8,0.001,4.0,4.0,2.0,0.222,2.0
fetrarij,9,3,3,3,1.0,131.262,0.328,363.545,0.87,5.353,3.0,3.0,2.0,0.296,2.0,1.0,1.0,0.0,0.0,0.0,2.25,1.5,1.893,0.361,1.75,4.273,0.052,8.476,0.494,4.325,344.334,1.516,594.562,0.665,515.132,344.334,1.516,594.562,0.665,515.132,3.0,3.0,2.0,0.296,2.0
greenrobot,48,10,22,12,0.545,43.385,23.863,64.328,0.67,45.674,2.182,1.0,2.174,0.424,1.5,1.364,1.0,0.902,0.224,0.0,1.714,1.0,1.584,0.351,0.0,10.409,0.0,36.228,0.656,0.0,64.727,29.023,75.037,0.553,56.697,55.51,25.443,71.618,0.62,61.653,4.8,4.0,3.584,0.388,5.0
tivisse,286,10,2,2,1.0,3.637,0.078,14.892,0.918,0.581,143.0,143.0,1.414,0.003,1.0,5.0,5.0,2.828,0.2,2.0,2.288,1.0,2.151,0.417,1.0,2.716,0.0,9.671,0.813,0.285,5.622,0.084,20.382,0.913,0.752,4.625,0.104,17.435,0.911,0.791,28.6,16.5,30.174,0.513,25.75
excalibot,300,3,2,1,0.5,2.817,0.0,9.183,0.894,1.008,150.0,150.0,60.811,0.143,43.0,2.0,2.0,1.414,0.25,1.0,13.636,4.5,19.723,0.612,13.5,27.927,1.67,50.437,0.747,27.838,10.849,5.062,12.14,0.546,15.006,5.671,0.001,12.11,0.786,4.17,100.0,44.0,96.995,0.373,84.0
markya0616,24,7,3,1,0.333,49.302,0.064,132.589,0.871,0.775,8.0,5.0,5.196,0.25,4.5,5.0,5.0,2.0,0.178,2.0,8.0,5.0,5.196,0.25,4.5,98.814,4.086,167.524,0.657,146.063,418.749,418.749,86.545,0.073,61.196,56.624,0.036,141.148,0.851,0.741,3.429,2.0,2.699,0.357,2.0
galoybot,282,4,13,1,0.077,0.61,0.009,2.619,0.908,0.127,21.692,4.0,41.131,0.66,16.0,1.769,2.0,0.832,0.241,1.0,2.203,1.0,1.846,0.389,1.0,0.271,0.0,0.976,0.833,0.017,1.078,0.02,3.751,0.885,0.327,0.446,0.005,1.807,0.911,0.048,70.5,26.5,105.913,0.619,69.5
flexiondotorg,242,13,8,4,0.5,0.437,0.101,0.612,0.653,0.971,30.25,7.5,48.691,0.69,26.75,3.375,2.5,3.998,0.468,2.0,4.033,2.0,4.864,0.544,3.25,1.327,0.015,3.987,0.798,0.448,0.434,0.282,0.434,0.514,0.487,0.184,0.029,0.352,0.755,0.148,18.615,7.0,33.361,0.651,13.0
m2-assistant[bot],294,3,7,1,0.143,1.946,0.494,4.474,0.745,1.677,42.0,2.0,91.159,0.793,20.5,1.286,1.0,0.756,0.19,0.0,4.141,2.0,7.06,0.602,3.0,5.634,0.009,14.261,0.673,4.555,2.433,1.563,2.934,0.568,3.177,2.503,0.467,6.867,0.798,1.484,98.0,31.0,131.943,0.537,118.5
steinybot,146,13,43,29,0.674,14.085,0.433,36.823,0.84,9.333,3.395,2.0,4.26,0.513,3.0,1.791,1.0,1.245,0.31,1.0,1.46,1.0,0.915,0.256,0.25,0.714,0.0,2.851,0.749,0.001,19.908,1.492,43.344,0.794,20.608,16.168,0.723,40.366,0.829,13.663,11.231,8.0,10.457,0.485,12.0
restyled-io[bot],298,5,39,31,0.795,0.385,0.0,1.314,0.88,0.064,7.641,6.0,5.636,0.368,6.5,3.897,3.0,1.071,0.14,2.0,4.806,3.0,2.947,0.302,3.0,0.164,0.001,0.726,0.912,0.049,1.706,0.911,2.401,0.621,1.879,0.315,0.0,1.082,0.881,0.006,59.6,57.0,37.601,0.291,33.0
warprobot,15,3,7,2,0.286,120.161,38.406,149.67,0.63,222.591,2.143,1.0,2.268,0.419,1.0,1.0,1.0,0.0,0.0,0.0,1.25,1.0,0.452,0.15,0.25,30.274,0.0,96.356,0.612,0.482,119.907,50.784,149.021,0.619,202.829,219.558,203.036,134.901,0.304,103.868,5.0,4.0,4.583,0.4,4.5
wasabeef,49,7,18,16,0.889,37.551,0.181,85.748,0.822,26.0,2.722,1.0,6.578,0.588,0.0,1.389,1.0,1.243,0.256,0.0,2.333,1.0,5.66,0.538,0.0,0.29,0.0,1.287,0.646,0.0,89.817,49.192,115.146,0.604,88.998,11.497,0.192,22.681,0.799,11.123,7.0,3.0,6.608,0.461,12.0
lodin,249,13,4,2,0.5,7.829,0.165,19.178,0.843,2.345,62.25,17.5,100.801,0.64,53.75,6.5,7.5,3.873,0.269,3.0,11.857,5.0,15.634,0.598,13.0,70.517,4.933,90.121,0.609,146.058,23.035,16.558,31.426,0.632,24.925,9.339,0.14,21.453,0.828,3.874,19.154,12.0,25.706,0.609,19.0
favware-bot,22,2,1,1,1.0,99.421,72.133,94.435,0.468,72.806,22.0,22.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,2087.845,2087.845,0.0,0.0,0.0,,,0.0,0.0,,135.763,76.139,184.542,0.61,211.902,11.0,11.0,12.728,0.409,9.0
lightbend-cla-validator,21,1,12,4,0.333,88.435,46.714,107.405,0.575,87.262,1.75,1.0,1.485,0.337,1.0,1.0,1.0,0.0,0.0,0.0,1.4,1.0,0.737,0.222,0.5,5.975,0.0,18.118,0.628,0.017,119.934,80.654,114.777,0.47,90.623,,,0.0,0.0,,21.0,21.0,0.0,0.0,0.0
otto-the-bot,153,5,5,1,0.2,1.49,0.009,5.095,0.913,0.03,30.6,23.0,26.661,0.429,32.0,2.4,3.0,1.342,0.267,2.0,7.286,4.0,7.177,0.472,6.0,0.374,0.082,1.277,0.804,0.103,10.932,10.621,9.823,0.429,8.678,1.753,0.008,5.699,0.906,0.03,30.6,43.0,26.245,0.408,40.0
